number_of_text_plain_sections,number_of_text_html_sections,number_of_image_sections,number_of_application_sections,ratio_text_plain_to_any_text_sections,length_of_text_in_text_html_section,index_charset_first_sec,num_unique_charset,num_standart_header,num_in_reply_to,num_received,exist_x_mailer,exist_user_agent,mime_version,case_var_MV,length_message_id,ascii_boundary_char,existence_of_domain,is_id_part_hex,is_id_part_decimal,existence_of_dots_in_id_part,existence_of_special_chars_in_id_part,is_domain_part_hex,is_domain_part_decimal,existence_of_dots_in_domain_part,existence_of_special_chars_in_domain_part,num_From_header_tags_in_thread,num_ofToheader_tags_in_thread,num_ofunique_To_addresses_in_thread,num_ofunique_Reply-To_addresses_in_thread,num_ofuniquedomains_in_all_email_addresses,ratio_unique_To_domains_to_unique_domains_in_all_addresses,num_Cc_addresses,num_Bcc_addresses,num_of_Sender_addresses,IsReturn_Path_identical_to_Reply_To,num_ofTo_domains_identical_to_From_domain,num_ofCc_domains_identical_to_From_domain,num_ofBcc_domains_identical_to_From_domain,IsFrom_domain_same_as_Reply-To_domain,IsFrom_domain_same_as_Return-Path_domain,IsFrom_entity_bracketed,IsTo_entity_bracketed,len_first_boundary,boundary_start_with_=,exist_=_middle_boundary,exist_underscore_boundary,exist_dot_boundary,exist_other_special_char_boundary,boundary_hexadecimal,boundary_decimal,length_style,exist_direction,exist_JS,depht_DOM_tree,num_DOM_leaf,num_unique_DOM_leaf,mean_DOM_leaf_depths,standart_dev_DOM_depths,num_email_addresses_in_html_section,num_a_tags,num_URLs_in_html_section,ratio_unique_domains_to_domains_of_allURLs_in_anytags,label,email_id,index,phishing_probability_original
0,1,0,0,0.0,0,1,1,8,0,2,1,0,1,0,49,64,1,1,0,0,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6816,0,0,16,28,6,9.75,3.2140872954630746,0,1,1,1.0,1,<3c2b70b3c364aefa10549c12262f226c@www.bermello.com>,10,0.9992416
1,0,0,0,1.0,0,1,1,6,0,0,0,0,1,0,50,64,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<20040518211651.47848.qmail@web41206.mail.yahoo.com>,11,0.98819727
1,1,0,0,0.5,0,1,1,7,0,0,0,0,1,1,48,64,1,0,0,1,0,0,0,1,0,1,1,1,1,3,0.3333333333333333,0,0,1,0,0,0,0,0,0,1,0,31,1,0,0,0,1,0,0,0,0,0,2,43,3,2.0,0.0,0,1,1,1.0,1,<200310310128.h9V1SJ4U008577@cryforhelp.mr.itd.UM>,12,0.9966017
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,48,64,1,0,0,1,0,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200308041502.h74F2vW03954@perfectworld.mr.itd.UM>,13,0.997431
1,1,0,0,0.5,0,1,1,8,0,2,0,0,1,0,48,64,1,1,0,0,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,35,0,0,1,0,0,1,0,9421,0,0,25,18,8,16.333333333333332,6.716480559869962,0,2,3,0.6666666666666666,1,<91b8491195a1abb821962d57193a575c@husband.digital>,14,0.99750704
1,0,0,0,1.0,0,-1,0,8,0,0,0,0,1,0,43,64,1,0,0,1,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200605050118.k451ILRY067681@smi.webnext.com>,15,0.9903194
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,40,64,1,0,0,1,0,0,0,1,0,1,1,1,1,3,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200305271735.h4RHZOvE005547@smtp.eecs.UM>,16,0.99742436
1,0,0,0,1.0,0,1,1,7,0,0,0,0,1,1,43,64,1,0,0,0,1,0,0,1,0,1,1,0,1,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<BAY109-F189DBEA59E02C0A21D3763FE0C0@phx.gbl>,17,0.9983925
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,45,64,1,0,0,1,0,0,0,1,0,1,1,1,1,3,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200402161452.i1GEqTK29053@tightrope.mr.itd.UM>,18,0.99742436
1,1,0,0,0.5,0,1,1,6,0,0,1,0,1,1,40,64,1,1,0,1,0,0,0,1,0,1,1,0,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1,0,1,0,0,492,0,0,4,30,6,2.2666666666666666,0.5120763831912406,2,0,0,0.0,1,<c568aecb71685.71685c568aecb@nyroc.rr.com>,19,0.99841964
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,46,64,1,0,0,1,0,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200606160656.k5G6ug96028536@awakenings.mail.UM>,20,0.99733764
1,0,0,0,1.0,0,1,1,8,0,0,0,0,1,0,39,64,1,1,0,0,0,0,0,1,0,1,1,0,1,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<428C18CE00012425@nfs03.in.adinet.com.uy>,21,0.9979837
1,0,0,0,1.0,0,1,1,7,0,0,0,0,1,1,39,64,1,0,0,0,1,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,1,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<0MKv22-1E81ig3nXF-0007y9@mx.perfora.net>,22,0.9937948
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,28,64,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200603071508.6323@centrum.cz>,23,0.9964149
1,1,0,0,0.5,0,1,2,7,0,3,0,0,1,0,57,64,1,1,0,1,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,41,0,1,1,1,0,0,0,5982,0,0,9,22,4,7.2272727272727275,1.9984498124527827,1,1,2,1.0,1,<20241004031024.470D05DE87F73A9B@webcontrolempresas.com.br>,24,0.9951591
1,0,0,0,1.0,0,-1,0,7,0,0,0,0,1,1,42,64,1,0,0,0,1,0,0,1,0,1,1,0,1,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<BAY12-F13AC56517C0B13A7B0EFA3DF0C0@phx.gbl>,25,0.99826956
1,0,0,0,1.0,0,-1,0,6,0,0,0,0,1,1,42,64,1,0,0,0,1,0,0,1,0,1,0,0,1,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<BAY21-F207822E8A0EB019EFA9AC48CB70@phx.gbl>,26,0.99833834
1,1,0,0,0.5,0,1,1,7,0,3,0,0,1,0,54,64,1,1,0,0,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,1,57,0,0,1,0,0,0,0,193,0,0,4,8,5,2.875,0.5994789404140899,0,1,1,1.0,1,<99D89B86E277274C9D85B6F3B272F829442049D5@WOLF.actx.edu>,27,0.9963439
0,1,0,0,0.0,0,1,1,8,0,2,0,0,1,0,48,64,1,1,0,1,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2819,0,0,14,22,6,7.090909090909091,3.0287874998104876,2,1,1,1.0,1,<20240829082252.A71C3B8590B3E7@sv14847.xserver.jp>,28,0.9990484
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,40,64,1,0,0,1,0,0,0,1,0,1,1,1,1,3,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200411201829.iAKITWq9021061@smtp.eecs.UM>,29,0.99742436
1,1,0,0,0.5,0,1,1,7,0,2,0,0,1,0,45,64,1,0,0,0,1,0,0,1,1,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,1170,0,0,13,12,4,10.5,2.565800719723442,0,1,1,1.0,1,<E1okIZH-0000yX-7V@server1.chi-3.geeksroot.com>,30,0.9932881
0,1,0,0,0.0,0,1,1,8,0,1,0,0,1,0,47,64,1,1,0,1,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,312,0,0,15,14,6,8.0,3.1622776601683795,3,1,2,1.0,1,<20191216132315.D8DDD113C4ED8DD0@nubiugmail.live>,31,0.99917114
1,0,0,0,1.0,0,-1,0,4,0,0,1,0,0,0,37,64,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<41b36163.3e5.2a2a.18994@btconnect.com>,32,0.99038637
1,0,0,0,1.0,0,1,1,7,0,0,1,0,1,1,43,64,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<1998cf19b448.19b4481998cf@email.bigpond.com>,33,0.9911466
1,0,0,0,1.0,0,1,1,7,0,0,1,0,1,1,43,64,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<1998cf19b448.19b4481998cf@email.bigpond.com>,34,0.9911466
2,1,0,0,0.6666666666666666,0,1,1,7,0,1,0,0,1,0,80,64,1,1,0,0,1,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,52,0,0,1,0,0,0,0,2220,0,0,14,9,3,12.555555555555555,1.7069212773041351,1,1,2,1.0,1,<010001829765f4ff-0560712e-6b2d-4d66-abf6-d2765fc53411-000000@email.amazonses.com>,35,0.9951023
1,1,0,0,0.5,0,1,1,7,0,2,0,0,1,0,29,64,1,1,1,0,1,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,1,0,0,0,0,1,1,27,1,1,0,0,0,1,1,13220,0,0,5,21,4,4.0476190476190474,0.5753831415997416,2,0,0,0.0,1,<1521178828-16264@mail.evan.ru>,36,0.9760045
1,0,0,0,1.0,0,1,1,7,0,0,0,0,1,1,44,64,1,0,0,1,0,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,1,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200606180931.k5I9Vgij014604@jacknife.mail.UM>,37,0.9952454
0,1,0,0,0.0,0,1,1,8,0,3,0,0,1,0,43,64,1,1,0,1,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6068,0,0,13,40,8,7.8,2.471841418861655,10,14,6,0.16666666666666666,1,<20190522023342.1EB774DCF16AF758@fasindo.com>,38,0.98042655
1,0,0,0,1.0,0,1,1,7,0,0,0,0,1,0,45,64,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1.0,0,0,0,0,1,0,0,0,0,1,1,68,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<20060515101833.C56699315C4@smtp.latinmail.com>,39,0.995905
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,46,64,1,0,0,1,0,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200503110955.j2B9tJnG016715@awakenings.mail.UM>,40,0.99733764
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,43,64,1,0,0,1,0,0,0,1,0,1,1,1,1,3,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200609072143.k87Lhvs8011287@panther.mail.UM>,41,0.99742436
0,1,0,0,0.0,0,1,1,7,0,4,0,0,1,0,47,64,1,0,0,0,1,0,0,1,1,1,1,1,1,10,0.1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,7.5,0.5,0,1,0,0.0,1,<E17KkxB-000N5J-0Y@anchor-post-34.mail.demon.net>,42,0.99960655
1,1,0,0,0.5,0,1,1,5,0,0,0,0,1,0,54,64,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,1,0,0,0,0,0,4,19,2,3.6315789473684212,0.7405919620773836,0,0,0,0.0,1,<20060330165034.50743.qmail@web37101.mail.mud.yahoo.com>,43,0.99700636
0,1,0,0,0.0,0,1,1,8,0,0,1,0,1,0,42,64,1,1,0,1,0,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,0,0,5,22,4,3.772727272727273,1.7302605736976617,0,1,1,1.0,1,<1a69381a5009.1a50091a6938@ma19.eresmas.com>,44,0.99918395
1,0,0,0,1.0,0,1,1,7,0,4,0,0,0,0,39,64,1,0,0,1,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200208030636.g736Zgg28166@mailhub.co.ru>,45,0.68097854
1,1,0,0,0.5,0,1,1,7,0,3,0,0,1,0,69,64,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,61,0,0,1,0,0,0,0,1908,0,0,12,21,8,8.857142857142858,2.8163758252611895,0,1,1,1.0,1,<9ec5c3fa-5a00-4bd7-88aa-033fb8580985@DHHS-XSV02.all.co.humboldt.ca.us>,46,0.99787915
1,0,0,0,1.0,0,1,1,8,0,0,0,0,1,0,52,64,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<IHPS34$92B42777A7B379C262C480DF2DF7BA2B@terra.com.mx>,47,0.99796695
1,0,0,0,1.0,0,1,1,7,0,0,1,0,1,0,42,64,1,0,0,1,0,0,0,1,0,1,0,0,1,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200508022216.j72MG7eA030849@casino.mail.UM>,48,0.9984388
0,1,0,0,0.0,0,1,1,8,0,3,1,0,1,0,45,64,1,0,0,1,0,0,0,1,1,1,1,25,0,45,0.5333333333333333,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,63,8,3.5555555555555554,1.3660019031079467,1,5,4,0.25,1,<200206072241.g57Mf1V12746@ula-usrv51.brasilis>,49,0.99960536
1,0,0,0,1.0,0,1,1,7,0,3,0,0,0,0,24,64,1,1,0,0,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<B0001471456@fnvision.com>,50,0.81926
0,1,0,0,0.0,0,1,1,7,0,3,1,0,1,0,66,64,1,0,0,1,0,0,0,1,1,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2618,0,0,11,38,8,6.684210526315789,2.295364472353319,2,6,8,0.5,1,<1490636522.854932.25748.nullmailer@turborodriguez.planet-school.de>,51,0.99702185
1,1,0,0,0.5,0,1,1,6,0,0,0,0,1,0,54,64,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,1,0,0,0,0,0,2,51,3,2.0,0.0,0,1,1,1.0,1,<20060320103321.69081.qmail@web37813.mail.mud.yahoo.com>,52,0.99703074
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,44,64,1,0,0,1,0,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200609211233.k8LCXOgi015066@jacknife.mail.UM>,53,0.9967043
1,1,0,1,0.5,0,1,1,6,0,4,1,0,1,0,44,64,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,41,0,1,1,1,0,0,0,0,0,0,4,4,3,2.5,0.8660254037844386,0,0,2,1.0,1,<4C6598132C3845D381F171767C835FE9@vvps-000337>,54,0.9910124
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,37,64,1,1,0,1,0,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<20060613225333.63440C0DA@krusty.si.UM>,55,0.9974022
1,0,0,0,1.0,0,1,1,8,0,4,1,0,1,0,53,64,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200206021027.g52ARP723639@mandark.labs.netnoteinc.com>,56,0.9956065
1,1,2,0,0.5,0,1,1,6,0,0,0,0,1,0,54,64,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,1,0,0,0,0,0,2,18,4,1.8888888888888888,0.3142696805273545,0,1,1,1.0,1,<20061106132855.76512.qmail@web58103.mail.re3.yahoo.com>,57,0.99703074
1,0,0,0,1.0,0,1,1,6,0,0,1,0,0,0,44,64,1,0,0,1,0,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200402121628.i1CGSmpp005044@escape.mr.itd.UM>,58,0.99546117
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,32,64,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<web-618639208@mail01.infosat.net>,59,0.9921284
1,0,0,0,1.0,0,1,1,7,0,0,1,0,1,0,31,64,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<web-19250987@cgp6.sentechsa.net>,60,0.99809307
0,1,0,0,0.0,0,1,1,8,0,3,0,0,1,0,40,64,1,1,0,0,1,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,5,31,8,3.4193548387096775,1.0402913223611032,0,2,2,0.5,1,<000037ca5ec5$0000554b$00006949@Artic.net>,61,0.998718
0,1,0,0,0.0,0,1,1,8,0,1,0,0,1,0,85,64,1,1,0,0,1,0,0,1,1,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1489,0,0,22,19,6,15.157894736842104,2.851835196661909,1,3,1,1.0,1,<0109018141f0615c-76b92a59-7a84-4cf2-8d3e-27b29a03bbcc-000000@ap-south-1.amazonses.com>,62,0.99638784
0,1,0,0,0.0,0,1,1,7,0,5,0,0,1,0,53,64,1,0,0,1,0,0,0,1,0,1,1,1,1,9,0.1111111111111111,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3.0,0.0,0,1,0,0.0,1,<200205071208.g47C8JD12826@mandark.labs.netnoteinc.com>,63,0.9994702
0,1,0,0,0.0,0,-1,0,6,0,0,0,0,0,0,45,64,1,0,0,1,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,3.5,0.7071067811865476,2,2,2,1.0,1,<200701192354.l0JNslMB025878@doyak.nyind.co.kr>,64,0.997615
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,44,64,1,0,0,1,0,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200703192210.l2JMAqYX019988@jacknife.mail.UM>,65,0.9967043
1,0,0,0,1.0,0,1,1,7,0,0,0,0,1,0,37,64,1,1,0,1,0,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<20030523052114.361EBC30E@krusty.si.UM>,66,0.99760395
1,0,0,0,1.0,0,1,1,6,0,0,1,0,0,0,48,64,1,0,0,1,0,0,0,1,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200306271821.h5RIL7q25911@perfectworld.mr.itd.UM>,67,0.9962025
